authorId,authors,cuntry
1,Mary GrandPra,
2,J.K. Rowling,
3,Douglas Adams,
4,Stephen Fry,
5,Bill Bryson,
6,J.R.R. Tolkien,
7,Alan  Lee,
8,Christopher  Lee,
9,Richard Taylor,
10,Chris   Smith,
11,Jude Fisher,
12,Andreas  Schwarz,
13,Thomas  Fuchs,
14,Mike Clark,
15,Leon Breedt,
16,David Heinemeier Hansson,
17,Dave Thomas,
18,Gary Paulsen,
19,Keith Vasconcelles,
20,Edward Sciranko,
21,Donna Ickes,
22,Molly Hatchet,
23,Dale Peck,
24,Willa Okati,
25,Kate Hill,
26,Lacey Savage,
27,Judy Mays,
28,Sahara Kelly,
29,Angela Knight,
30,Delia Sherman,
31,Patricia A. McKillip,
32,Zilpha Keatley Snyder,
33,Kate Horsley,
34,Philippa Carr,
35,Edward P. Jones,
36,Kevin R. Free,
37,Satyajit Das,
38,Mark Smylie,
39,William Howarth,
40,John McPhee,
41,Wendy Wasserstein,
42,Heidi Boyd,
43,Rolland Baker,
44,Heidi Baker,
45,Angelo  Rinaldi,
46,Beverly Cleary,
47,Johanna Spyri,
48,Arlene Eisenberg,
49,Sharon Mazel,
50,Heidi Murkoff,
51,Libby Keatinge,
52,Heidi Fleiss,
53,Heidi Boyd,
54,Frank Herbert,
55,Brian Herbert,
56,Kevin J. Anderson,
57,Gary Russell,
58,Bryce Courtenay,
59,Thomas G. Addington,
60,Stephen R. Graves,
61,John C. Maxwell,
62,Dave Lakhani,
63,Louis E. Catron,
64,Adam Ginsberg,
65,Marsha Collier,
66,Lisa Suttora,
67,Chris Malta,
68,Marsha Collier,
69,Julia Wilkinson,
70,Leonard Richardson,
71,Lucas Carlson,
72,Ruby Ann Boxcar,
73,Rob Orsini,
74,Larissa Volokhonsky,
75,Richard Pevear,
76,Leo Tolstoy,
77,Priscilla Meyer,
78,Marianne Sturman,
79,Gloria Goldreich,
80,Anthony Thorlby,
81,Mulk Raj Anand,
82,John Banville,
83,Eliot Ness,
84,Narendra Jadhav,
85,V.T. Rajshekar,
86,Vasant Moon,
87,Barry R. Cournoyer,
88,John Carratello,
89,George Smoot,
90,Madeleine L'Engle,
91,Tara MacCarthy,
92,Madeleine L'Engle,
93,Cynthia Harrod-Eagles,
94,Charles Todd,
95,Ewan McGregor,
96,Daniel Abraham,
97,Charles Willeford,
98,Tom Wolfe,
99,Edward Lear,
100,Quentin Blake,
101,Henry Miller,
102,Henry James,
