publisher_name,address_id,email,banking_acc,phone_number
Ace Books,2,smt@gmail.com,123456789,4151235678
Amistad,2,smt@gmail.com,123456789,4151235678
Archaia,3,smt@gmail.com,123456789,4151235678
ASCD,1,smt@gmail.com,123456789,4151235678
Association for Supervision & Curriculum Development,3,smt@gmail.com,123456789,4151235678
Atheneum Books for Young Readers: Richard Jackson Books,1,smt@gmail.com,123456789,4151235678
Atria Books,2,smt@gmail.com,123456789,4151235678
Ballantine Books,2,smt@gmail.com,123456789,4151235678
Barnes  Noble Classics,1,smt@gmail.com,123456789,4151235678
Barnes & Noble,3,smt@gmail.com,123456789,4151235678
Barnes & Noble Classics,3,smt@gmail.com,123456789,4151235678
Broadway Books,2,smt@gmail.com,123456789,4151235678
Buccaneer Books,2,smt@gmail.com,123456789,4151235678
Cambridge University Press,1,smt@gmail.com,123456789,4151235678
Changeling Press,2,smt@gmail.com,123456789,4151235678
Cherry Lane Music Company,1,smt@gmail.com,123456789,4151235678
Chosen Books,1,smt@gmail.com,123456789,4151235678
Citadel,1,smt@gmail.com,123456789,4151235678
Clarity Press,1,smt@gmail.com,123456789,4151235678
Cliffs Notes,2,smt@gmail.com,123456789,4151235678
Crown,2,smt@gmail.com,123456789,4151235678
Del Rey Books,2,smt@gmail.com,123456789,4151235678
Delacorte Books for Young Readers,2,smt@gmail.com,123456789,4151235678
Delacorte Press,2,smt@gmail.com,123456789,4151235678
Dover Publications,2,smt@gmail.com,123456789,4151235678
Dramatists Play Service,3,smt@gmail.com,123456789,4151235678
EMC,1,smt@gmail.com,123456789,4151235678
Farrar  Straus and Giroux,2,smt@gmail.com,123456789,4151235678
Farrar Straus Giroux,1,smt@gmail.com,123456789,4151235678
Firebird,1,smt@gmail.com,123456789,4151235678
FT Press,1,smt@gmail.com,123456789,4151235678
Gramercy Books,2,smt@gmail.com,123456789,4151235678
Grove Press,3,smt@gmail.com,123456789,4151235678
Harper,2,smt@gmail.com,123456789,4151235678
Harper Perennial,1,smt@gmail.com,123456789,4151235678
HarperAudio,1,smt@gmail.com,123456789,4151235678
Heinemann Drama,2,smt@gmail.com,123456789,4151235678
Houghton Mifflin Harcourt,3,smt@gmail.com,123456789,4151235678
iUniverse,3,smt@gmail.com,123456789,4151235678
Ivy Books,2,smt@gmail.com,123456789,4151235678
Kingfisher,1,smt@gmail.com,123456789,4151235678
Little  Brown Book Group,1,smt@gmail.com,123456789,4151235678
McGraw-Hill,2,smt@gmail.com,123456789,4151235678
Mira Books,3,smt@gmail.com,123456789,4151235678
New Directions,2,smt@gmail.com,123456789,4151235678
New Directions Publishing,1,smt@gmail.com,123456789,4151235678
Nimble Books,2,smt@gmail.com,123456789,4151235678
North Light Books,1,smt@gmail.com,123456789,4151235678
One Hour Entertainment,2,smt@gmail.com,123456789,4151235678
O'Reilly Media,3,smt@gmail.com,123456789,4151235678
Pearson,2,smt@gmail.com,123456789,4151235678
Penguin Books,1,smt@gmail.com,123456789,4151235678
Picador USA,2,smt@gmail.com,123456789,4151235678
Pragmatic Bookshelf,1,smt@gmail.com,123456789,4151235678
publisher,2,smt@gmail.com,123456789,4151235678
Puffin,2,smt@gmail.com,123456789,4151235678
Putnam,2,smt@gmail.com,123456789,4151235678
Random House Audio,1,smt@gmail.com,123456789,4151235678
Routledge,1,smt@gmail.com,123456789,4151235678
Rowman & Littlefield Publishers,1,smt@gmail.com,123456789,4151235678
Scholastic,2,smt@gmail.com,123456789,4151235678
Scholastic Inc.,3,smt@gmail.com,123456789,4151235678
Scribner,2,smt@gmail.com,123456789,4151235678
Shambhala,1,smt@gmail.com,123456789,4151235678
Signet,2,smt@gmail.com,123456789,4151235678
Sovereign World,3,smt@gmail.com,123456789,4151235678
Sterling,2,smt@gmail.com,123456789,4151235678
Teacher Created Resources,1,smt@gmail.com,123456789,4151235678
Teaching Resources,2,smt@gmail.com,123456789,4151235678
The New Press,1,smt@gmail.com,123456789,4151235678
Thomas Nelson,2,smt@gmail.com,123456789,4151235678
Tor Books,3,smt@gmail.com,123456789,4151235678
Tor Science Fiction,1,smt@gmail.com,123456789,4151235678
Turtleback Books,2,smt@gmail.com,123456789,4151235678
Viking Juvenile,1,smt@gmail.com,123456789,4151235678
Vintage,2,smt@gmail.com,123456789,4151235678
Vintage Crime,2,smt@gmail.com,123456789,4151235678
Wiley,1,smt@gmail.com,123456789,4151235678
William Morrow,1,smt@gmail.com,123456789,4151235678
William Morrow Paperbacks,2,smt@gmail.com,123456789,4151235678
Wings Books,2,smt@gmail.com,123456789,4151235678
Workman Publishing Company,1,smt@gmail.com,123456789,4151235678
Penguin Classics,1,smt@gmail.com,132312333,31231
